CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
45PT26,200,50,100,50,50,25,Departamental,-76.604253,0.926363,-76.589527,0.943846,2229.96,6824.27,5022.66,8508.29,15349.36,16088.48,1250,107,Departamental,0
4502,1913,72,484,100,29,58,Primer Orden,-76.578123,0.880706,-76.589527,0.943846,7140.38,18112.86,14225.63,24632.94,42856.08,44744.56,4452,108,Primer Orden,891
801,5393,139,465,35,4,35,Primer Orden,-77.73105,0.955471,-77.701559,0.881637,10228.78,25947.13,20378.57,35287.31,61392.41,64097.71,7610,109,Primer Orden,316
1701,2071,2907,238,14,1,5,Primer Orden,-77.783804,0.911301,-77.736324,0.956366,5936.12,15058.03,11826.4,20478.46,35628.17,37198.14,13046,110,Primer Orden,858
52317,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.736324,0.956366,-77.736224,0.956458,11.73,34.19,26.58,44.77,74.12,77.34,665000,111,Vía Municipal,0
08NR02,22,2,3,1,0,0,Departamental,-77.736224,0.956458,-77.737194,0.957132,110.45,306.6,234.42,399.58,714.08,748.4,42,112,Departamental,0
08NR02,22,2,3,1,0,0,Departamental,-77.737194,0.957132,-77.792898,0.912848,8571.45,23793.43,18192.13,31008.95,55415.78,58079.22,42,113,Departamental,0
52317,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.736224,0.956458,-77.732991,0.959396,379.47,1106.02,859.98,1448.47,2397.92,2502.04,665000,114,Vía Municipal,0
52317,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.732991,0.959396,-77.73105,0.955471,422.35,1230.99,957.15,1612.13,2668.85,2784.74,665000,115,Vía Municipal,0
86571,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.406988,0.961446,-76.414555,0.960037,772.43,2075.5,1668.19,2849.55,4642.69,4842.29,665000,116,Vía Municipal,0
45PT22,200,50,100,50,50,25,Departamental,-76.414555,0.960037,-76.440258,0.960339,2997.04,9171.73,6750.39,11435.03,20629.33,21622.7,1250,117,Departamental,0
52317,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.732991,0.959396,-77.729601,0.963739,531.58,1549.36,1204.7,2029.08,3359.12,3504.98,665000,118,Vía Municipal,0
25NR11,19,3,3,1,0,0,Departamental,-77.520939,0.966562,-77.565706,0.924305,10197.99,33373.48,23999.77,42938.89,80644.59,84765.96,43,119,Departamental,0
